gender,age_clean,bmi,height_m,weight_kg,overweight_family,consum_cf,consum_vf,consum_daily,consum_other,smoking,consum_water,cal_monitoring,phyical_activity,device_usage,consum_alchohol,transportation,Obesity
Male,19,16.36,1.8,53.0,0,0,3,3,Sometimes,no,2,no,1,1,Sometimes,pt,0
Male,22,20.66,1.76,64.0,0,1,3,4,Frequently,yes,2,no,1,0,Sometimes,pt,1
Male,19,19.15,1.71,56.0,1,1,2,3,Frequently,no,2,no,1,0,Sometimes,pt,1
Female,19,21.45,1.63,57.0,1,1,2,3,Frequently,no,1,no,1,1,no,pt,1
Male,18,21.11,1.7,61.0,0,0,2,3,Sometimes,no,3,no,2,1,Sometimes,w,1
Male,21,22.72,1.78,72.0,1,1,1,1,Sometimes,no,2,no,1,1,Sometimes,pt,1
Male,22,32.72,1.8,106.0,1,1,2,3,Always,no,1,no,1,0,Sometimes,pt,4
Female,22,23.92,1.61,62.0,0,1,2,3,Sometimes,no,1,no,1,1,Sometimes,pt,1
Female,19,23.15,1.61,60.0,1,1,2,3,Sometimes,no,3,no,3,0,no,pt,1
Female,18,21.1,1.57,52.0,0,1,3,3,Sometimes,no,1,no,1,2,no,pt,1
Male,20,22.4,1.89,80.0,0,0,2,3,Sometimes,no,3,no,3,0,Sometimes,c,1
Male,17,21.8,1.83,73.0,1,1,2,3,Frequently,no,2,no,2,1,Sometimes,pt,1
Male,18,18.31,1.81,60.0,0,1,2,3,Frequently,no,2,no,2,1,no,w,0
Male,22,22.57,1.71,66.0,1,1,2,3,Frequently,no,1,no,1,1,no,pt,1
Male,20,22.99,1.83,77.0,1,0,2,3,Frequently,no,2,no,1,0,no,pt,1
Male,19,31.74,1.87,111.0,1,1,2,1,Sometimes,yes,2,no,1,2,Sometimes,pt,4
Female,17,21.16,1.67,59.0,0,0,2,1,Sometimes,no,1,no,1,1,no,w,1
Female,22,23.19,1.54,55.0,0,1,3,3,Sometimes,no,2,no,2,1,Sometimes,pt,1
Male,27,26.78,1.75,82.0,0,0,2,3,Sometimes,no,2,no,2,0,no,c,2
Male,19,25.03,1.81,82.0,1,1,2,3,Frequently,no,1,no,1,1,Frequently,pt,1
Male,24,25.99,1.71,76.0,0,1,3,3,Sometimes,no,3,no,1,2,Sometimes,pt,2
Male,27,24.62,1.71,72.0,0,1,2,3,Sometimes,yes,1,no,1,0,Sometimes,pt,1
Male,19,18.71,1.73,56.0,0,1,2,4,Sometimes,no,2,no,2,1,Sometimes,pt,1
Male,17,13.73,1.85,47.0,1,1,3,3,Always,no,3,no,3,2,Sometimes,w,0
Female,17,20.43,1.58,51.0,0,1,2,4,Always,no,2,no,1,1,Sometimes,pt,1
Male,21,26.25,1.81,86.0,1,0,2,3,Sometimes,no,3,no,2,1,Sometimes,pt,2
Male,24,39.39,1.76,122.0,1,1,2,3,Sometimes,yes,2,no,2,1,Sometimes,pt,5
Female,25,25.15,1.57,62.0,1,1,1,3,Always,no,2,no,1,2,Sometimes,pt,1
Female,24,19.14,1.6,49.0,1,1,2,1,Frequently,no,1,no,1,2,Sometimes,pt,1
Male,21,23.5,1.81,77.0,0,1,3,4,Always,no,3,no,2,0,Sometimes,pt,1
Female,17,21.16,1.67,59.0,0,0,2,1,Sometimes,no,1,no,1,1,no,w,1
Male,18,18.21,1.8,59.0,1,1,2,4,Frequently,no,2,no,2,1,no,pt,0
Male,18,21.05,1.73,63.0,0,1,2,3,Always,no,2,no,3,1,no,pt,1
Female,17,22.76,1.61,59.0,0,1,3,3,Sometimes,no,1,no,3,0,no,pt,1
Male,18,20.44,1.67,57.0,1,1,1,3,Always,no,2,no,1,1,Sometimes,pt,1
Female,27,23.59,1.66,65.0,0,1,3,3,Sometimes,no,1,no,1,0,no,w,1
Male,27,24.96,1.71,73.0,0,1,2,3,Always,no,2,no,1,0,Sometimes,pt,1
Male,39,24.54,1.76,76.0,1,0,3,3,Frequently,no,1,no,2,1,no,c,1
Male,19,22.92,1.76,71.0,0,1,3,4,Sometimes,no,2,no,1,1,no,pt,1
Female,26,19.07,1.57,47.0,0,1,2,3,Sometimes,no,1,no,1,0,Sometimes,pt,1
Female,28,26.3,1.56,64.0,0,1,2,3,Sometimes,no,1,no,1,1,Sometimes,c,2
Male,22,24.09,1.68,68.0,1,1,3,1,Always,no,2,no,1,1,no,pt,1
Male,39,24.54,1.76,76.0,1,0,3,3,Frequently,no,1,no,3,1,no,c,1
Female,24,18.72,1.76,58.0,0,0,3,3,Frequently,no,2,no,2,0,Sometimes,pt,0
Male,19,22.59,1.81,74.0,1,1,2,3,Sometimes,no,2,no,3,0,Sometimes,c,1
Female,31,26.49,1.66,73.0,1,1,2,3,Sometimes,no,1,no,1,0,Sometimes,pt,2
Female,22,24.24,1.56,59.0,0,1,2,1,Sometimes,no,1,no,1,0,Sometimes,pt,1
Male,19,19.25,1.71,56.3,1,1,3,3,Sometimes,no,2,no,3,0,Sometimes,pt,1
Male,24,25.73,1.73,77.0,1,0,3,4,Frequently,no,1,no,1,0,Sometimes,pt,2
Male,20,24.82,1.75,76.0,1,0,3,1,Sometimes,no,3,no,3,1,Sometimes,w,1
Female,20,30.48,1.66,84.0,1,1,3,3,Sometimes,no,1,no,1,1,Sometimes,pt,4
Female,18,15.87,1.81,52.0,0,1,3,4,Frequently,no,1,no,2,1,Sometimes,pt,0
Male,18,18.61,1.75,57.0,1,1,2,3,Sometimes,no,2,no,2,1,no,pt,1
Male,28,21.97,1.86,76.0,1,1,2,1,Sometimes,no,2,no,1,0,no,w,1
Female,24,19.84,1.71,58.0,0,0,3,4,Always,no,3,yes,3,0,no,c,1
Female,19,25.8,1.46,55.0,0,1,2,3,Frequently,no,2,yes,1,2,Frequently,pt,2
Male,20,17.78,1.71,52.0,0,1,1,4,Frequently,no,1,no,2,1,Sometimes,pt,0
Male,21,22.91,1.71,67.0,0,1,2,3,Sometimes,no,2,no,1,1,no,pt,1
Male,19,20.72,1.79,66.4,1,1,3,3,Frequently,no,2,no,3,2,no,w,1
Female,18,25.85,1.61,67.0,0,1,3,1,Sometimes,no,2,yes,1,2,Sometimes,pt,2
Female,20,18.55,1.54,44.0,0,0,2,3,Sometimes,no,1,yes,2,0,Frequently,pt,0
Male,22,22.59,1.81,74.0,0,1,3,3,Sometimes,no,2,no,1,1,no,pt,1
Male,21,19.68,1.61,51.0,0,0,2,3,Sometimes,no,1,no,1,0,Sometimes,pt,1
Male,24,34.94,1.75,107.0,1,1,3,3,Sometimes,no,2,no,1,0,Sometimes,pt,4
Male,24,24.31,1.66,67.0,0,0,3,3,Sometimes,no,2,no,3,0,no,pt,1
Male,19,49.51,1.88,175.0,1,1,3,3,Frequently,no,2,no,2,1,Sometimes,pt,6
Male,18,19.49,1.71,57.0,0,1,3,3,Always,no,2,no,3,1,Sometimes,pt,1
Female,22,20.4,1.55,49.0,1,0,3,3,Always,no,1,no,2,0,no,pt,1
Male,18,30.22,1.81,99.0,1,1,2,3,Sometimes,no,3,no,1,1,Sometimes,w,3
Male,19,24.49,1.83,82.0,1,1,2,3,Sometimes,no,2,no,3,2,no,w,1
Male,21,32.07,1.99,127.0,1,1,2,3,Always,no,3,no,1,1,Sometimes,pt,4
Male,18,23.24,1.76,72.0,1,0,2,3,Sometimes,no,1,no,3,2,Sometimes,w,1
Female,27,22.14,1.66,61.0,0,0,3,4,Always,no,2,no,2,0,no,w,1
Female,18,21.22,1.61,55.0,0,1,1,3,Sometimes,no,1,no,2,2,Sometimes,w,1
Female,25,20.06,1.61,52.0,1,1,1,3,Sometimes,no,2,no,1,1,Sometimes,c,1
Female,18,23.53,1.61,61.0,0,1,2,3,Sometimes,no,2,no,1,2,no,pt,1
Female,28,26.3,1.56,64.0,0,1,3,1,Sometimes,no,1,no,1,0,Sometimes,pt,2
Male,18,16.72,1.91,61.0,0,0,3,3,Sometimes,no,2,no,3,1,no,w,0
Female,18,19.84,1.71,58.0,1,1,1,3,Sometimes,no,1,no,1,1,no,c,1
Male,42,36.16,1.76,112.0,1,0,2,1,Sometimes,no,1,no,1,0,Frequently,c,5
Female,34,20.28,1.57,50.0,1,0,2,3,Sometimes,no,2,no,1,0,Sometimes,pt,1
Male,21,21.5,1.88,76.0,0,1,2,3,Frequently,no,1,no,1,1,Sometimes,pt,1
Female,41,33.27,1.57,82.0,1,1,2,1,Sometimes,no,2,no,2,0,no,pt,4
Female,38,26.85,1.66,74.0,1,0,3,3,Sometimes,no,2,no,1,0,Sometimes,c,2
Male,20,25.03,1.81,82.0,0,1,2,1,Sometimes,no,2,no,2,1,Sometimes,pt,1
Male,25,25.42,1.85,87.0,1,1,2,1,Always,no,2,no,2,1,Sometimes,pt,2
Male,25,23.94,1.71,70.0,0,1,3,3,Sometimes,no,2,no,1,0,Sometimes,mb,1
Male,34,28.4,1.73,85.0,1,1,2,1,Sometimes,no,2,no,3,0,Sometimes,c,3
Female,41,25.32,1.59,64.0,0,1,2,3,Frequently,no,2,no,3,1,Sometimes,pt,2
Female,38,29.41,1.69,84.0,1,1,2,1,Sometimes,no,2,no,1,0,no,c,3
Male,21,30.06,1.59,76.0,0,0,3,3,Frequently,no,2,no,3,1,Sometimes,pt,3
Male,20,18.62,1.81,61.0,0,1,2,3,Sometimes,no,1,no,1,1,no,pt,1
Male,18,26.72,1.63,71.0,1,1,3,1,Always,no,2,yes,1,2,Sometimes,pt,2
Female,19,22.58,1.63,60.0,0,1,3,3,Sometimes,no,1,no,1,2,no,c,1
Female,22,24.14,1.55,58.0,0,1,2,1,Sometimes,no,2,no,1,2,Sometimes,pt,1
Male,19,22.66,1.77,71.0,1,1,2,4,Frequently,no,2,no,2,1,Sometimes,c,1
Male,42,28.39,1.81,93.0,1,1,2,1,Frequently,no,3,no,1,0,Sometimes,c,3
Female,37,24.52,1.59,62.0,1,0,3,3,Sometimes,no,1,no,2,0,Sometimes,c,1
Male,19,22.34,1.77,70.0,0,0,2,4,Frequently,no,2,no,1,1,Sometimes,pt,1
Male,19,23.78,1.74,72.0,0,1,3,3,Frequently,no,1,no,2,1,Sometimes,pt,1
Male,18,24.62,1.71,72.0,1,1,3,3,Sometimes,no,2,no,1,2,Sometimes,w,1
Male,26,29.07,1.71,85.0,0,1,3,3,Sometimes,no,3,yes,3,0,no,mb,3
Male,22,23.5,1.81,77.0,1,1,3,3,Frequently,no,1,no,2,0,Sometimes,pt,1
Female,30,21.99,1.61,57.0,1,0,2,3,Frequently,no,1,no,1,1,Sometimes,pt,1
Male,18,33.86,1.71,99.0,1,0,2,3,Sometimes,no,2,no,1,1,Sometimes,c,4
Female,19,23.92,1.61,62.0,1,1,3,1,Sometimes,no,1,yes,1,2,no,w,1
Female,17,18.9,1.56,46.0,0,1,2,3,Frequently,no,2,no,1,1,no,pt,1
Female,19,21.09,1.6,54.0,0,0,1,3,Sometimes,no,1,no,1,2,no,pt,1
Female,38,33.33,1.51,76.0,1,1,2,3,Frequently,no,1,no,1,0,Sometimes,mb,4
Male,19,34.33,1.79,110.0,1,0,2,3,Sometimes,no,3,no,1,0,no,pt,4
Female,17,25.53,1.62,67.0,1,1,1,1,Sometimes,no,2,no,1,0,no,pt,2
Male,24,17.24,1.72,51.0,1,1,2,3,Always,no,3,no,1,2,no,pt,0
Female,19,17.44,1.71,51.0,0,0,2,3,Sometimes,no,2,no,1,1,Sometimes,w,0
Male,19,22.5,1.77,70.5,0,0,3,3,Frequently,no,3,no,2,2,no,pt,1
Male,19,27.02,1.71,79.0,0,1,1,3,Sometimes,no,2,no,1,1,Sometimes,pt,3
Female,18,23.61,1.54,56.0,1,1,2,3,Sometimes,no,1,no,1,1,no,pt,1
Female,21,16.65,1.55,40.0,1,1,1,3,Sometimes,no,2,no,3,2,Sometimes,pt,0
Female,39,24.65,1.56,60.0,1,0,3,3,Sometimes,no,1,no,2,1,Frequently,c,1
Male,21,22.23,1.67,62.0,0,1,2,4,Frequently,no,3,no,1,0,no,pt,1
Male,22,36.42,1.86,126.0,1,1,3,1,Always,no,1,no,1,0,Sometimes,pt,5
Male,22,22.5,1.66,62.0,0,0,3,1,Frequently,no,1,no,1,0,Sometimes,mb,1
Male,19,25.77,1.66,71.0,1,0,2,3,Sometimes,no,2,no,1,0,no,pt,2
Male,27,24.52,1.84,83.0,0,1,2,3,Always,no,2,no,1,1,Sometimes,pt,1
Male,28,29.83,1.84,101.0,1,1,3,1,Frequently,no,2,no,2,1,Sometimes,w,3
Female,27,40.52,1.67,113.0,1,0,3,3,Sometimes,no,3,no,1,0,no,c,6
Male,35,23.41,1.79,75.0,0,1,2,3,Sometimes,no,2,no,3,1,Sometimes,c,1
Male,19,28.41,1.75,87.0,0,0,3,3,Sometimes,no,2,no,3,0,no,pt,3
Male,34,21.55,1.77,67.5,0,0,2,3,Sometimes,no,2,no,3,1,Sometimes,c,1
Female,20,25.97,1.52,60.0,1,1,3,3,Frequently,no,1,no,1,2,Sometimes,w,2
Male,21,24.15,1.82,80.0,1,0,3,1,Sometimes,no,2,no,1,0,Sometimes,pt,1
Female,34,23.42,1.56,57.0,1,1,3,1,Sometimes,no,3,no,2,1,Sometimes,pt,1
Male,21,20.09,1.84,68.0,0,0,2,3,Sometimes,no,2,no,1,1,no,pt,1
Female,21,25.46,1.61,66.0,0,0,3,3,Sometimes,no,2,yes,1,0,Sometimes,pt,2
Male,34,24.86,1.86,86.0,0,1,2,3,Frequently,no,2,no,1,0,Sometimes,c,1
Male,34,28.09,1.76,87.0,0,0,2,3,Sometimes,no,2,yes,1,0,Sometimes,pt,3
Male,34,33.97,1.84,115.0,1,1,2,1,Always,no,2,no,1,2,Frequently,c,4
Male,15,24.68,1.72,73.0,1,1,3,3,Sometimes,no,3,no,2,1,no,w,1
Male,35,26.3,1.85,90.0,0,1,3,3,Sometimes,no,1,yes,2,0,no,c,2
Male,19,27.77,1.78,88.0,1,1,3,3,Sometimes,no,2,no,1,1,Frequently,pt,3
Male,19,31.12,1.71,91.0,0,1,3,3,Sometimes,no,2,no,2,0,Sometimes,pt,4
Male,30,33.87,1.63,90.0,1,1,1,3,Sometimes,no,1,no,1,0,Sometimes,pt,4
Male,19,17.63,1.86,61.0,1,1,3,4,Sometimes,no,2,yes,2,0,Sometimes,c,0
Male,19,17.82,1.85,61.0,1,1,3,4,Sometimes,no,2,yes,2,0,Sometimes,c,0
Male,20,19.37,1.76,60.0,0,1,2,3,Sometimes,no,2,no,2,0,Sometimes,b,1
Male,34,27.46,1.86,95.0,1,1,2,3,Sometimes,no,1,no,1,1,Sometimes,w,3
Male,34,25.14,1.75,77.0,0,0,2,3,Sometimes,no,1,no,1,2,Sometimes,w,2
Female,20,20.88,1.62,54.8,1,1,2,3,Always,no,2,no,2,1,Sometimes,pt,1
Male,23,23.24,1.76,72.0,0,0,2,3,Sometimes,no,3,no,1,1,no,pt,1
Female,21,21.61,1.68,61.0,0,1,3,3,no,no,2,no,3,0,Sometimes,pt,1
Male,24,24.28,1.71,71.0,0,1,3,1,Frequently,no,1,no,2,1,Sometimes,pt,1
Male,27,22.2,1.91,81.0,1,1,2,3,Frequently,no,1,yes,1,0,Sometimes,c,1
Male,19,31.57,1.66,87.0,0,1,2,3,Sometimes,no,1,no,1,0,Sometimes,pt,4
Female,19,21.99,1.61,57.0,0,1,2,4,Frequently,no,2,no,2,1,Sometimes,pt,1
Male,20,21.67,1.81,71.0,0,1,3,3,Frequently,no,1,no,2,0,no,pt,1
Female,19,22.41,1.65,61.0,1,1,2,3,Sometimes,no,1,no,1,1,Sometimes,pt,1
Male,20,24.65,1.9,89.0,0,1,2,4,Frequently,no,2,no,3,1,Frequently,c,1
Female,20,26.17,1.77,82.0,1,1,2,1,Sometimes,no,3,no,3,1,no,pt,2
Female,19,23.12,1.57,57.0,0,1,2,3,Sometimes,no,1,no,1,0,Frequently,c,1
Female,19,21.99,1.61,57.0,1,1,2,1,Always,no,2,no,1,0,Sometimes,w,1
Female,20,23.38,1.68,66.0,0,1,3,3,Sometimes,no,2,no,2,1,Sometimes,c,1
Female,20,23.92,1.61,62.0,0,1,2,3,Frequently,no,2,no,1,1,Sometimes,pt,1
Female,19,23.83,1.56,58.0,0,1,2,3,Sometimes,no,1,no,1,0,no,c,1
Female,19,21.37,1.56,52.0,1,1,3,3,Frequently,no,1,no,1,2,no,pt,1
Male,27,22.39,1.73,67.0,1,1,2,3,Sometimes,no,2,no,1,1,Sometimes,w,1
Male,19,18.04,1.73,54.0,1,1,2,3,Sometimes,no,2,no,1,2,Sometimes,pt,0
Male,20,21.2,1.71,62.0,1,1,2,1,Sometimes,no,2,no,2,0,Sometimes,pt,1
Female,20,19.91,1.52,46.0,0,1,2,4,Sometimes,no,1,no,3,0,Sometimes,pt,1
Male,20,24.81,1.84,84.0,1,1,3,3,Frequently,no,2,no,2,0,Sometimes,pt,1
Male,20,26.86,1.81,88.0,1,1,2,4,Sometimes,no,2,no,2,1,Sometimes,pt,2
Female,25,39.54,1.61,102.5,1,1,3,1,Sometimes,no,1,no,1,2,Sometimes,pt,5
Female,19,23.8,1.64,64.0,1,1,1,3,Sometimes,no,2,no,2,2,Sometimes,pt,1
Male,20,24.68,1.72,73.0,0,1,3,3,Sometimes,no,2,no,1,1,Sometimes,pt,1
Male,20,22.91,1.71,67.0,1,0,2,3,Frequently,no,2,no,1,0,no,pt,1
Male,24,22.92,1.76,71.0,0,0,3,3,no,no,2,no,2,1,Sometimes,c,1
Female,19,19.57,1.63,52.0,0,1,3,3,Sometimes,no,1,no,1,0,Sometimes,c,1
Female,21,24.16,1.69,69.0,0,1,3,1,Sometimes,no,1,no,1,0,no,pt,1
Male,19,19.37,1.86,67.0,0,1,2,3,Frequently,no,1,no,1,1,Sometimes,pt,1
Female,34,23.83,1.6,61.0,0,1,3,1,Frequently,no,2,no,1,0,no,pt,1
Female,20,20.61,1.51,47.0,0,1,2,3,Sometimes,no,1,no,1,0,Sometimes,pt,1
Male,20,21.45,1.7,62.0,0,1,2,3,Always,no,1,no,1,1,Sometimes,pt,1
Male,20,25.54,1.77,80.0,1,1,2,3,Frequently,no,3,no,1,2,Frequently,pt,2
Female,19,21.45,1.63,57.0,1,1,2,3,Frequently,no,1,no,1,1,no,pt,1
Male,22,34.48,1.72,102.0,1,1,2,1,Sometimes,no,2,no,1,2,no,pt,4
Male,28,30.07,1.73,90.0,1,1,2,1,Always,no,2,no,1,0,Sometimes,c,3
Male,18,21.37,1.81,70.0,1,0,2,3,Sometimes,no,1,no,2,1,Sometimes,pt,1
Male,19,23.38,1.94,88.0,0,0,3,4,Always,no,2,no,2,0,Sometimes,w,1
Female,19,20.06,1.61,52.0,1,1,2,3,Frequently,no,1,no,1,1,Sometimes,pt,1
Male,23,25.14,1.75,77.0,1,1,3,3,Frequently,no,1,no,1,0,no,c,1
Male,23,25.14,1.75,77.0,1,1,3,3,Frequently,no,1,no,1,0,no,c,1
Female,21,17.69,1.63,47.0,0,1,3,3,Frequently,no,1,no,1,0,Sometimes,pt,0
Female,20,18.31,1.55,44.0,0,1,3,1,Sometimes,no,2,no,1,1,no,pt,0
Female,21,21.7,1.57,53.5,0,1,2,3,Frequently,no,2,no,3,0,Sometimes,pt,1
Female,19,32.79,1.61,85.0,1,1,2,3,Sometimes,no,2,yes,1,0,no,pt,4
Female,19,30.39,1.55,73.0,0,0,3,4,Frequently,no,2,no,1,1,no,pt,3
Female,19,19.33,1.64,52.0,1,1,1,3,Frequently,no,1,no,1,0,Sometimes,pt,1
Male,20,20.6,1.79,66.0,0,1,2,3,Sometimes,no,1,no,1,0,no,pt,1
Female,19,26.35,1.63,70.0,0,0,2,1,Sometimes,no,1,no,1,2,no,pt,2
Female,19,25.69,1.72,76.0,1,1,3,3,Sometimes,no,2,no,1,0,no,pt,2
Female,19,20.94,1.65,57.0,1,1,3,3,Frequently,no,1,yes,1,1,no,pt,1
Male,20,22.84,1.7,66.0,0,1,2,3,Frequently,no,1,no,1,1,Sometimes,pt,1
Female,18,20.17,1.59,51.0,0,1,1,4,Frequently,no,2,no,1,2,Sometimes,pt,1
Female,19,20.83,1.58,52.0,0,1,2,3,Sometimes,no,1,no,1,1,Sometimes,pt,1
Male,19,21.55,1.75,66.0,1,1,3,4,Sometimes,no,1,yes,2,0,Sometimes,pt,1
Female,21,21.95,1.59,55.5,1,1,2,1,Frequently,no,2,no,1,1,Sometimes,pt,1
Female,19,26.31,1.51,60.0,0,1,2,3,Sometimes,no,1,no,1,0,no,pt,2
Female,37,29.76,1.66,82.0,1,1,2,3,Sometimes,no,1,no,1,2,no,c,3
Male,22,22.89,1.81,75.0,1,1,1,3,Always,no,2,no,3,1,Sometimes,pt,1
Male,24,24.54,1.76,76.0,0,1,2,3,Sometimes,no,2,no,1,0,Frequently,pt,1
Male,24,30.68,1.85,105.0,1,0,2,3,Sometimes,no,3,no,3,0,no,mb,4
Male,22,24.08,1.89,86.0,1,1,3,3,Sometimes,no,3,no,2,1,Sometimes,w,1
Female,20,21.1,1.57,52.0,0,1,2,1,Sometimes,no,1,no,1,2,no,pt,1
Male,25,27.76,1.76,86.0,0,1,3,3,no,no,2,yes,1,0,Sometimes,pt,3
Male,26,25.1,1.67,70.0,0,1,2,3,Sometimes,yes,1,no,1,1,Sometimes,pt,1
Male,46,29.75,1.71,87.0,0,1,3,3,Frequently,no,1,no,1,0,no,c,3
Male,21,20.45,1.81,67.0,0,1,2,3,Frequently,no,1,no,2,0,Sometimes,mb,1
Female,19,23.74,1.68,67.0,0,1,3,3,Sometimes,no,2,no,1,0,Sometimes,pt,1
Male,20,18.62,1.81,61.0,1,1,3,1,Always,no,1,yes,1,0,no,mb,1
Male,19,18.38,1.73,55.0,1,1,2,3,Sometimes,no,2,no,1,2,Sometimes,pt,0
Male,21,19.07,1.57,47.0,0,0,2,3,Sometimes,no,2,no,1,1,Sometimes,pt,1
Female,26,36.54,1.7,105.6,1,1,3,3,Sometimes,no,1,no,1,1,Sometimes,pt,6
Female,20,45.06,1.69,128.7,1,1,3,3,Sometimes,no,1,no,2,1,Sometimes,pt,6
Female,27,42.08,1.63,111.8,1,1,3,3,Sometimes,no,2,no,1,0,Sometimes,pt,6
Female,23,44.3,1.77,138.8,1,1,3,3,Sometimes,no,2,no,2,0,Sometimes,pt,6
Female,23,48.82,1.85,167.1,1,1,3,3,Sometimes,no,2,no,1,0,Sometimes,pt,6
Female,19,43.26,1.76,134.0,1,1,3,3,Sometimes,no,2,no,2,0,Sometimes,pt,6
Female,27,42.2,1.64,113.5,1,1,3,3,Sometimes,no,2,no,1,0,Sometimes,pt,6
Female,27,39.71,1.64,106.8,1,1,3,3,Sometimes,no,2,no,1,0,Sometimes,pt,6
Female,23,42.92,1.78,136.0,1,1,3,3,Sometimes,no,2,no,1,0,Sometimes,pt,6
Male,21,18.25,1.75,55.9,1,1,2,3,Sometimes,no,2,no,2,2,Sometimes,pt,0
Male,18,17.9,1.78,56.7,1,1,2,4,Sometimes,no,2,no,2,1,Sometimes,pt,0
Male,23,18.37,1.76,56.9,1,1,2,3,Sometimes,no,2,no,2,0,Sometimes,pt,0
Female,23,18.28,1.69,52.2,1,1,3,3,Frequently,no,2,no,2,1,no,pt,0
Female,22,18.39,1.68,51.9,1,1,3,3,Frequently,no,2,no,2,1,no,pt,0
Female,23,18.25,1.72,54.0,1,1,2,3,Frequently,no,1,no,2,1,no,pt,0
Female,22,17.67,1.61,45.8,0,0,3,1,Frequently,no,2,no,1,0,no,pt,0
Female,23,17.28,1.61,44.8,0,0,3,2,Frequently,no,2,no,1,0,no,pt,0
Female,23,18.39,1.58,45.9,0,0,3,1,Frequently,no,2,no,1,0,no,pt,0
Female,22,17.23,1.6,44.1,0,0,2,1,Frequently,no,1,no,1,0,no,pt,0
Female,24,17.59,1.61,45.6,0,0,2,1,Frequently,no,1,no,1,0,no,pt,0
Female,25,17.75,1.61,46.0,0,0,2,3,Frequently,no,2,no,2,0,no,pt,0
Female,20,16.26,1.7,47.0,0,1,3,3,Sometimes,no,3,yes,3,1,no,pt,0
Female,20,17.97,1.57,44.3,0,1,3,2,Sometimes,no,2,yes,1,0,no,pt,0
Female,20,17.49,1.57,43.1,0,1,3,1,Sometimes,no,2,yes,2,0,no,pt,0
Female,21,16.94,1.58,42.3,0,1,2,1,Frequently,no,1,no,1,0,Sometimes,pt,0
Female,22,18.8,1.53,44.0,0,1,3,1,Frequently,no,1,no,1,0,Sometimes,pt,0
Female,21,19.15,1.56,46.6,0,1,3,2,Frequently,no,1,no,1,0,Sometimes,pt,0
Female,21,18.37,1.53,43.0,0,1,3,1,Frequently,no,1,no,1,0,Sometimes,pt,0
Female,21,18.55,1.54,44.0,0,1,3,1,Frequently,no,1,no,1,0,Sometimes,pt,0
Female,22,18.8,1.53,44.0,0,1,3,1,Frequently,no,1,no,1,0,Sometimes,pt,0
Female,23,17.47,1.74,52.9,0,0,3,3,Frequently,no,1,no,1,0,Sometimes,pt,0
Female,22,17.31,1.73,51.8,0,0,3,3,Frequently,no,1,no,1,0,Sometimes,pt,0
Female,21,16.85,1.74,51.0,0,0,1,4,Frequently,no,1,no,1,0,Sometimes,pt,0
Male,24,18.22,1.89,65.1,1,1,3,3,Sometimes,no,2,no,1,0,Sometimes,c,0
Male,24,18.96,1.86,65.6,1,1,3,3,Sometimes,no,2,no,1,0,Sometimes,c,0
Male,24,17.79,1.85,60.9,1,1,3,3,Sometimes,no,2,no,2,0,Sometimes,c,0
Male,19,17.24,1.77,54.0,1,1,3,3,Frequently,no,2,no,1,1,no,pt,0
Male,23,18.12,1.72,53.6,1,1,3,3,Frequently,no,1,no,1,0,no,pt,0
Male,19,18.69,1.7,54.0,1,1,3,3,Frequently,no,2,no,1,1,no,pt,0
Female,20,16.6,1.6,42.5,0,1,2,1,Sometimes,no,1,no,1,1,Sometimes,pt,0
Female,20,16.97,1.59,42.9,0,1,2,1,Sometimes,no,1,no,1,1,Sometimes,pt,0
Female,20,17.2,1.57,42.4,0,1,2,1,Sometimes,no,1,no,1,1,Sometimes,pt,0
Female,21,18.32,1.68,51.7,0,0,2,3,Frequently,no,1,no,2,1,Sometimes,pt,0
Female,21,17.54,1.7,50.7,0,0,2,3,Frequently,no,2,no,2,1,Sometimes,pt,0
Female,21,18.29,1.67,51.0,0,0,2,3,Frequently,no,2,no,1,1,Sometimes,pt,0
Female,24,17.68,1.72,52.3,1,1,2,3,Frequently,no,2,no,2,2,no,pt,0
Female,21,17.78,1.77,55.7,1,1,2,3,Frequently,no,1,no,3,2,no,pt,0
Female,24,17.64,1.74,53.4,1,1,2,3,Frequently,no,1,no,1,2,no,pt,0
Female,20,18.22,1.67,50.8,0,1,1,3,Sometimes,no,1,no,2,1,Sometimes,pt,0
Female,20,17.44,1.71,51.0,0,1,1,3,Sometimes,no,1,no,2,1,Sometimes,pt,0
Female,20,18.61,1.67,51.9,0,1,2,3,Sometimes,no,1,no,2,1,Sometimes,pt,0
Female,31,19.62,1.62,51.5,1,1,2,3,Frequently,no,2,no,1,0,no,pt,0
Female,33,17.52,1.65,47.7,1,1,3,3,Frequently,no,2,no,1,0,no,pt,0
Female,25,18.8,1.66,51.8,1,1,3,3,Frequently,no,2,no,1,0,no,pt,0
Male,18,18.12,1.72,53.6,0,1,2,2,Sometimes,no,2,no,1,0,Sometimes,pt,0
Male,17,16.46,1.76,51.0,0,1,2,3,Sometimes,no,1,no,2,0,Sometimes,pt,0
Male,17,18.55,1.7,53.6,0,1,2,2,Sometimes,no,2,no,1,0,Sometimes,pt,0
Male,19,17.27,1.76,53.5,0,1,2,3,Sometimes,no,1,no,1,1,Sometimes,pt,0
Male,19,16.2,1.79,51.9,0,1,2,3,Sometimes,no,2,no,1,1,Sometimes,pt,0
Male,19,17.01,1.77,53.3,0,1,2,3,Sometimes,no,2,no,1,1,Sometimes,pt,0
